seed,stage,band_m,count,frac
42,pre,0-250,154835,0.16203
42,pre,250-500,105804,0.11072
42,pre,500-1000,151392,0.15842
42,pre,1000-2000,440731,0.46120
42,pre,2000-3000,98444,0.10302
42,pre,3000+,4417,0.00462
42,post,0-250,147415,0.16031
42,post,250-500,128478,0.13971
42,post,500-1000,140099,0.15235
42,post,1000-2000,427026,0.46437
42,post,2000-3000,74365,0.08087
42,post,3000+,2205,0.00240
1337,pre,0-250,239422,0.25075
1337,pre,250-500,165111,0.17292
1337,pre,500-1000,205288,0.21500
1337,pre,1000-2000,238708,0.25000
1337,pre,2000-3000,80717,0.08454
1337,pre,3000+,25574,0.02678
1337,post,0-250,245913,0.25346
1337,post,250-500,205138,0.21143
1337,post,500-1000,209293,0.21571
1337,post,1000-2000,221937,0.22875
1337,post,2000-3000,70083,0.07223
1337,post,3000+,17869,0.01842
LEVERAGE_42,pre,0-250,154835,0.16203
LEVERAGE_42,pre,250-500,105804,0.11072
LEVERAGE_42,pre,500-1000,151392,0.15842
LEVERAGE_42,pre,1000-2000,440731,0.46120
LEVERAGE_42,pre,2000-3000,98444,0.10302
LEVERAGE_42,pre,3000+,4417,0.00462
LEVERAGE_42,post_1x,0-250,147415,0.16031
LEVERAGE_42,post_1x,250-500,128478,0.13971
LEVERAGE_42,post_1x,500-1000,140099,0.15235
LEVERAGE_42,post_1x,1000-2000,427026,0.46437
LEVERAGE_42,post_1x,2000-3000,74365,0.08087
LEVERAGE_42,post_1x,3000+,2205,0.00240
LEVERAGE_42,post_3x,0-250,93071,0.11343
LEVERAGE_42,post_3x,250-500,156518,0.19076
LEVERAGE_42,post_3x,500-1000,130456,0.15900
LEVERAGE_42,post_3x,1000-2000,400638,0.48830
LEVERAGE_42,post_3x,2000-3000,39595,0.04826
LEVERAGE_42,post_3x,3000+,201,0.00024
